SUPPLIER,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
**BLANK**,0.0,0.0,-6810.0
8 VINI INC,2.7800000000000002,2.0,1.0
A HARDY USA LTD,0.4,0.0,0.0
A I G WINE & SPIRITS,12.520000000000001,5.92,134.0
A VINTNERS SELECTIONS,8640.569999999872,8361.100000000004,29776.66999999999
A&E INC,11.520000000000003,2.0,0.0
A&W BORDERS LLC,0.8,1.0,0.0
ADAMBA IMPORTS INTL,32.2,40.489999999999995,0.0
AIKO IMPORTERS INC,11.240000000000002,11.0,3.0
ALLAGASH BREWING COMPANY,304.0900000000001,339.0,1742.92
ALLIED IMPORTERS USA LTD,7.63,11.0,18.0
ALTITUDE SPIRITS INC,5.609999999999999,4.59,0.0
AMERICAN BEVERAGE CORPORATION,452.4000000000002,486.09,192.0
AMERICAN BEVERAGE MARKETERS,1917.2900000000002,2104.59,307.0
AMERICAN FIDELITY TRADING,71.70999999999994,78.0,300.91999999999996
AMERICAN VINTAGE BEVERAGE INC,2.38,0.0,0.0
ANHEUSER BUSCH INC,42559.14000000007,47322.64,493856.18999999965
ARCHER ROOSE LLC,0.0,0.0,8.0
AREL GROUP WINE & SPIRITS,531.61,545.1699999999998,857.0799999999999
ARIS A ZISSIS,6.050000000000001,-0.08,0.0
ARTISANS & VINES LLC,48.62999999999999,39.83,2120.26
ASAHI BEER USA INC,256.32,298.0,1700.67
ATLANTIC WINE & SPIRITS,0.98,0.0,11.0
ATLAS BREW WORKS LLC,229.48999999999998,248.75,1285.08
AW DIRECT LLC,7.27,4.0,0.0
AZIZ SHAFI TANNIC TONGUE,1.16,2.0,145.82999999999998
BACARDI USA INC,28034.629999999986,30830.20999999999,4050.4800000000005
BACCHUS IMPORTERS LTD,4078.7499999999955,3753.8600000000015,8510.03
BACKUP BEVERAGE,20.269999999999996,37.0,1041.33
BANFI PRODUCTS CORP,4507.210000000001,4790.75,2911.17
BANVILLE & JONES WINE MERCHANTS,3.9099999999999997,0.0,0.0
BARON FRANCOIS LTD,2178.889999999998,2163.580000000001,1408.9299999999998
BARREL ONE INC,0.0,0.0,10.0
BASIGNANI WINERY,2.37,0.0,0.0
BINDING BRAUEREI USA INC,50.29,58.0,334.83
BLACK ANKLE VINEYARDS LLC,0.08,1.0,0.0
BOND DISTRIBUTING CO,0.89,1.0,166.66000000000003
BOORDY VINEYARDS,327.0300000000001,289.93,170.0
BORVIN BEVERAGE,0.32,0.0,0.0
BOSTON BEER CORPORATION,10773.25,11869.96,53420.90999999999
BOUTIQUE VINEYARDS LLC,56.879999999999974,28.510000000000005,176.92000000000002
BRONCO WINE COMPANY,771.6400000000003,613.8499999999999,1310.83
BROWN-FORMAN BEVERAGES WORLDWIDE,21659.41000000002,23666.449999999993,5166.93
BUCK DISTRIBUTING COMPANY INC,2561.5299999999997,2831.0,12583.05
BULLSHINE DISTILLERY LLC,9.129999999999999,109.0,0.0
C MONDAVI & SONS,676.2700000000001,747.1399999999999,1005.4900000000001
CABERNET CORPORATION,175.59000000000006,185.5,650.92
CAFFO BEVERAGES INC,6.49,8.0,0.0
CALVERT BREWING COMPANY,0.0,0.0,1.0
CAMPARI AMERICA LLC,9350.30999999999,9957.029999999999,744.83
CANTINIERE IMPORTS & DISTRIBUTING INC,1.0,1.0,62.0
CAPE STARZ WINE LLC,31.55,17.0,160.0
CASA CHIRICO LLC,0.0,0.0,98.0
CASTLE BRANDS USA CORP,3689.660000000003,3926.8500000000004,958.51
CELICAR LLC DBA TWIN VALLEY DISTILLERS,117.52000000000007,56.83,1.0
CHADDSFORD WINERY LTD,0.9,0.0,0.0
CHARLES JACQUIN ET CIE INC,459.73999999999995,462.91999999999996,0.0
CHATEAU DIANA LLC,0.64,0.0,3.0
CHEF SOUS LLC,3.8600000000000003,1.0,0.0
CHEVAL QUANCARD,260.9700000000001,257.7700000000001,0.0
CLASSIC WINE IMPORTS INC,4.41,0.0,0.0
CLASSIC WINE IMPORTS INC DBA VISION WINE,65.65,78.0,18.0
CLIPPER CITY BREWING CO,3051.839999999998,3600.12,10252.71
COASTAL BREWING COMPANY LLC,563.98,621.0,3688.5
COMETE WINES LLC,31.149999999999988,27.840000000000003,100.0
CONSTANTINE WINES INC,1942.1000000000004,1985.2600000000002,8665.81
CONSTELLATION BRANDS,54472.510000000046,60542.0999999999,44968.75999999998
COPPER CANE LLC,364.3300000000001,406.67,367.0
CRAFT BREW ALLIANCE INC,28.54,25.0,345.5
CRAFT WINE & SPIRITS OF MARYLAND LLC,302.0500000000002,216.83,31.0
CROWN IMPORTS,26707.830000000005,29561.67,579824.7000000003
D'AQUINO ITALIAN IMPORTING CO INC,0.16,0.0,1.0
DANGEROUS WINE GROUP LLC,12.030000000000003,8.0,132.0
DC BRAU BREWING LLC,2187.959999999999,2462.96,7505.84
DCD ENTERPRISES LLC,0.16,1.0,0.0
DELICATO FAMILY VINEYARDS,13540.649999999989,14773.830000000004,6720.6900000000005
DELMAR BREWING COMPANY LLC,1127.5900000000001,1421.0,5413.13
DESCHUTES BREWERY INC,401.23,450.0,1063.0
DEUTSCH FAMILY WINE & SPIRITS,13927.429999999998,15442.660000000002,12851.53
DIAGEO NORTH AMERICA INC,57656.36000000012,62968.11999999994,54252.87999999999
DIONYSOS IMPORTS INC,539.3700000000005,517.3500000000001,4875.93
DISARONNO INTERNATIONAL LLC,552.8900000000002,511.74,28.0
DMV DISTRIBUTING LLC,383.1500000000004,440.02000000000004,2255.17
DOGFISH HEAD CRAFT BREWERY,5716.84,6424.46,25562.45
DOGFISH HEAD DISTILLERY LLC,119.51000000000002,102.5,41.0
DOMAINE SELECT WINE & SPIRITS LLC,44.85999999999999,37.83,36.92
DON SEBASTIANI & SONS,612.0399999999998,658.76,579.9200000000001
DOPS INC,1060.9600000000007,1115.17,8576.46
DRAGON DISTILLERY LLC,63.45,69.78,0.0
DREYFUS ASHBY INC,0.57,0.0,0.0
DUCKHORN WINE COMPANY,927.8299999999998,1052.76,662.0
DUCLAW BREWERY LLC,586.17,680.75,1914.0
DUGGANS DISTILLERS PROD,834.1500000000004,916.8800000000001,77.83
DUVEL MOORTGAT USA LTD,134.65,155.0,516.0
Default,1277.6600000000003,1261.12,0.0
E & J GALLO WINERY,67455.63000000008,75129.82999999984,75594.98999999996
E M D SALES INC,52.04,39.25,230.82999999999998
EASTERN LIQUOR DISTRIBUTORS INC,860.5100000000003,959.0100000000001,768.0
ELITE WINES IMPORTS,238.15999999999983,223.17,3989.26
ELK RUN VINEYARDS,178.34,140.82,93.17
EVEREST SPIRITS LLC,40.07,31.490000000000002,0.0
EXCELSIOR WINE COMPANY LLC,7360.949999999998,8332.67,9829.63
FAR NIENTE WINERY INC,6.539999999999999,8.0,1.0
FAROPIAN SPIRITS LTD,0.16,1.0,13.0
FERRARI CARANO WINERY,254.38,233.50999999999996,115.0
FETZER VINEYARDS,2337.2499999999986,2635.1800000000003,1292.0
FIFTH GENERATION INC,12993.55,14158.369999999999,2155.25
FIORE WINERY,0.16,0.0,0.0
FIVE GRAPES LLC,35.62999999999999,34.0,160.0
FLAVOR SEEKERS LLC,2.3399999999999994,0.0,0.0
FLYING DOG BREWERY LLLP,10301.08,11862.88,47227.219999999994
FN CELLARS LLC,40.030000000000015,44.0,30.0
FOLEY FAMILY WINES INC,11.490000000000002,16.92,0.0
FOWLES WINE USA INC,0.0,0.0,27.0
FRANCIS COPPOLA WINERY LLC,3267.6599999999994,3616.4000000000015,1668.7600000000002
FRANK LIN MD,30.180000000000007,25.67,0.0
