ITEM CODE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
100003,0.0,0.0,1.0
100007,0.0,0.0,1.0
100008,0.0,0.0,1.0
100009,0.0,0.0,12.0
100011,0.0,0.0,3.0
100012,0.0,0.0,17.0
10004,0.0,0.0,1.0
100080,0.0,0.0,6.0
1001,0.0,0.0,9.0
10014,1.0,1.0,13.0
100145,0.0,0.0,3.0
1002,0.0,0.0,1.0
100200,2.0100000000000002,1.0,0.0
100285,0.0,0.0,16.0
100293,10.06,8.0,77.0
10030,0.08,0.0,0.0
100641,1.46,2.0,101.0
100714,0.0,0.0,8.0
100749,6.67,6.0,0.0
1008,0.0,0.0,1.0
100803,3.9899999999999998,0.0,20.0
100927,1.98,2.0,3.0
10093,0.0,0.0,2.0
10094,0.0,0.0,1.0
10095,71.5,123.0,112.0
10096,0.0,0.0,50.0
10103,38.2,40.0,1.0
101079,0.0,0.0,3.0
101117,9.290000000000001,10.0,8.0
10120,12.639999999999997,11.0,0.0
10123,10.69,31.0,0.0
10124,10.54,28.0,0.0
10125,9.339999999999998,28.67,0.0
101257,0.0,0.0,2.0
101346,0.0,0.0,13.0
101370,0.0,0.0,2.0
101486,0.0,0.0,5.0
101532,13.739999999999998,12.0,14.0
101567,3.6799999999999997,6.0,56.0
101591,0.0,0.0,2.0
101605,0.0,0.0,3.0
101621,0.25,0.0,0.0
101630,0.0,0.0,1.0
101664,7.2299999999999995,9.0,11.0
101672,0.0,0.0,6.0
101680,1.53,4.0,0.0
101702,0.0,0.0,2.0
101753,0.0,3.0,13.0
10177,0.0,0.0,5.0
101842,0.0,0.0,8.0
101915,0.0,0.0,7.0
101923,0.0,0.0,4.0
10194,0.0,0.0,11.83
10195,0.0,0.0,16.0
10196,0.0,0.0,13.0
10197,307.99,335.33,1.0
101974,215.23,256.33,147.0
10199,0.0,0.0,1.0
102,0.5,0.0,0.0
10200,2.0,3.0,22.0
10201,0.0,0.0,3.0
10202,0.0,0.0,4.0
102032,11.58,9.0,7.0
102083,0.49000000000000005,2.0,7.0
10212,0.0,0.0,1.0
10213,0.0,0.0,2.0
102148,0.0,0.0,56.67
10224,1.87,0.0,0.0
10226,0.56,0.0,0.0
10227,0.0,0.0,2.0
102288,0.0,0.0,2.0
102318,1.94,1.0,3.0
10232,0.0,0.0,1.0
10242,0.0,2.0,0.0
10243,27.42,28.0,0.0
102440,0.0,0.0,6.75
10245,6.4,3.92,819.9200000000001
10246,5.4399999999999995,12.0,0.0
10248,0.0,0.0,9.0
10249,0.0,0.0,2.0
10253,0.0,0.0,7.0
10254,1.02,1.0,0.0
10258,0.0,0.0,1.0
10264,0.0,0.0,7.0
10265,2.37,1.0,2.0
10266,59.46,63.0,73.0
10267,2.37,0.0,12.0
10268,4.640000000000001,4.0,17.0
10269,14.279999999999998,3.0,0.0
